"","Gene","reg_within","reg_between","targ_within","targ_between"
"756","nurse_LOC105827843",0.762534017898133,0.0960837049012801,0.670295298601096,0.110453610484286
"757","nurse_LOC105829143",0.402805760328832,0.107372983883799,0.586196440372565,0.148938714738669
"758","nurse_LOC105829108",0.525522415733409,0.0856790138186263,0.65699706181137,0.113671470263588
"759","nurse_LOC105840683",0.926079310419718,0.108648710603281,0.716432542296008,0.104963981993972
"760","nurse_LOC105833590",0.380348682621372,0.165205475802711,0.42914128051595,0.288824455908456
"761","nurse_LOC105838249",0.445413618505708,0.0814193889298325,0.590047730229531,0.158636229163165
"762","nurse_LOC105829710",0.671349721891669,0.148909954519232,0.623355052534845,0.168710914043333
"763","nurse_LOC105833467",1.05593105422708,0.0877907952848782,0.717372719900257,0.0920451987888282
"764","nurse_LOC105833562",0.865174904600014,0.131429779147757,0.680487025633572,0.143911343362828
"765","nurse_LOC105834945",0.375200598428508,0.104521413025615,0.465718605511246,0.259241107932026
"766","nurse_LOC105828217",0.366304260718837,0.192603432235012,0.449660407380244,0.314240718255353
"767","nurse_LOC105829309",0.70396536691514,0.146049992148321,0.686207883125832,0.114510971091483
"768","nurse_LOC105829669",0.360373182024758,0.105448931296624,0.515375714625687,0.231116471419453
"769","nurse_LOC105835741",0.299365632019159,0.147618382607937,0.317200951015358,0.441593328699467
"770","nurse_LOC105830423",0.534776321798312,0.137794816323376,0.634385059343902,0.142399547028129
"771","nurse_LOC105829686",0.53811464187756,0.104652282087201,0.574716043248129,0.198239976298863
"772","nurse_LOC105837847",0.541930974051957,0.116627578661353,0.581688258549304,0.182815932470775
"773","nurse_LOC105837877",0.815209653328269,0.120183660504337,0.69116686082432,0.106415153745878
"774","nurse_LOC105834496",0.222395496520259,0.130731175501018,0.384881296085574,0.329921079529251
"775","nurse_LOC105838415",0.871086489717104,0.102487026645557,0.68775736854111,0.132858020624274
"776","nurse_LOC105830151",0.628004387916477,0.145195140834436,0.626928765998559,0.159270376232168
"777","nurse_LOC105833117",0.358745885341844,0.0818741995619952,0.584517818678523,0.1741102779434
"778","nurse_LOC105840587",0.416985730631518,0.186234159837079,0.442779462922465,0.320373733939107
"779","nurse_LOC105828904",0.466973462221691,0.0925636441606993,0.587884408593225,0.175287039316845
"780","nurse_LOC105831484",0.624621431923675,0.243485181567592,0.630773105570238,0.150456990987693
"781","nurse_LOC105838184",0.497457713853336,0.0979724683894264,0.622131797943066,0.142925150525424
"782","nurse_LOC105833999",0.260866323037204,0.125430367727872,0.399534710149841,0.288080744348873
"783","nurse_LOC105840165",0.516040045465723,0.116525031416062,0.62122392689052,0.148874320724856
"784","nurse_LOC105831338",0.236830484538579,0.150252177575069,0.285093016891122,0.423072518185198
"785","nurse_LOC105830476",0.273650721132672,0.150369191483112,0.37493561125406,0.333786462131654
"786","nurse_LOC105830259",0.5220336663286,0.148829706113815,0.6020508996823,0.146352094879408
"787","nurse_LOC105837000",0.334869734533561,0.109990224486534,0.564393346482927,0.174677101431167
"788","nurse_LOC105833465",0.659594641856646,0.0975132730924055,0.704750066129805,0.106121205458774
"789","nurse_LOC105830286",0.542465671296843,0.0983844678083511,0.653560188545776,0.119603866352368
"790","nurse_LOC105831452",0.405418178637033,0.12715423296828,0.536778385452906,0.232567152646323
"791","nurse_LOC105830136",0.84811190937523,0.0800906751531758,0.728875875448524,0.0913005628822214
"792","nurse_LOC105839036",0.555039085524746,0.0901813073187226,0.640056386830369,0.140711588907895
"793","nurse_LOC105831847",0.637011218452498,0.11618918289604,0.689337852690964,0.0986729554450644
"794","nurse_LOC105836770",0.820227145991581,0.128616098199321,0.659220074186747,0.129344852080764
"795","nurse_LOC105835822",0.405709289677181,0.104468504470462,0.569542926259549,0.160576010391174
"796","nurse_LOC105828921",0.537239287979257,0.101300078957442,0.652579811051524,0.130281039535111
"797","nurse_LOC105838141",0.452920070343957,0.0896503990674302,0.609185026401357,0.158722565923477
"798","nurse_LOC105831185",0.259832438026639,0.199822500816369,0.316949725984296,0.401668669588979
"799","nurse_LOC105829040",0.368910279239369,0.142239454217548,0.433536165991874,0.26493539365145
"800","nurse_LOC105834316",0.178096799888621,0.145820542677852,0.304941020554131,0.352789763398723
"801","nurse_LOC105840418",0.308056019221381,0.115458135536218,0.387455423893835,0.350321692141371
"802","nurse_LOC105835576",0.292995375498435,0.122845733786653,0.442587205046202,0.296101517170792
"803","nurse_LOC105831811",0.448437346249424,0.182126795828351,0.456174756151854,0.341692465040351
"804","nurse_LOC105831695",0.805071331317926,0.138441725220854,0.692547047491966,0.132140233679553
"805","nurse_LOC105828983",0.544353845206161,0.10826380972797,0.675573000821466,0.126949460156814
"806","nurse_LOC105832033",0.184826578749428,0.117650101270389,0.32206212468746,0.340746683067344
"807","nurse_LOC105829111",0.356520629689101,0.102011162634374,0.631184044525226,0.128792373968023
"808","nurse_LOC105832148",0.657013921565893,0.0603563315441255,0.740466109759034,0.0655258463951754
"809","nurse_LOC105837992",0.982629333550787,0.101771792153237,0.705010664049511,0.102161437167651
"810","nurse_LOC105831816",0.336481127587384,0.164685006315385,0.490875106161158,0.247818263863203
"811","nurse_LOC105834856",0.629617190052778,0.0969523877574247,0.65252178252912,0.126510773651181
"812","nurse_LOC105835710",0.394913693803507,0.140476678994265,0.543308148332359,0.218507278104668
"813","nurse_LOC105836582",0.256502398731554,0.201459523783572,0.302515290111196,0.445891031125293
"814","nurse_LOC105829648",0.249482868401299,0.119520496546685,0.314123742555749,0.370170867992835
"815","nurse_LOC105837770",0.743536486919917,0.114181849558055,0.637861508325666,0.134620532548938
"816","nurse_LOC105840611",0.28834237341798,0.0767132143067342,0.560977390450309,0.156152784199977
"817","nurse_LOC105833516",0.745623723602067,0.102768698488606,0.72127051460166,0.0914593484265609
"818","nurse_LOC105835850",0.262985463779998,0.116080481176467,0.399873557073862,0.301211593703584
"819","nurse_LOC105833848",0.69064344276402,0.108757533945493,0.702729318914613,0.0969083373911277
"820","nurse_LOC105828665",0.427860692957076,0.106790481084366,0.551051445224176,0.198493405600064
"821","nurse_LOC105837555",0.19144998841482,0.0992229557554553,0.380337251103563,0.257076809321182
"822","nurse_LOC105831990",0.397270548304884,0.0885546041904485,0.587192322025364,0.147482359484778
"823","nurse_LOC105831744",0.664562604739124,0.0857887947622237,0.689517152707511,0.099267759188532
