"Gene","differential expression tissue","differential expression P-value","used in regulatory network reconstruction?","estimated regulatory direction","social connectivity","phylostrata category","SwissProt ID","constraint"
"LOC105829583",NA,NA,0.0417905098354574,NA,NA,"nurse abdomen","no","307658:0042bb"
"LOC105829583",NA,NA,3.33300417741588e-12,NA,NA,"worker larva","no","307658:0042bb"
"LOC105829584",NA,NA,0.0298355161049506,NA,NA,"nurse head","no","307658:004634"
"LOC105829584","larva → nurse head","CH",8.2271377412953e-20,"larv",0.200975650444043,"worker larva","yes","307658:004634"
"LOC105829584","larva → nurse abdomen","CG",8.2271377412953e-20,"larv",0.199190894625183,"worker larva","yes","307658:004634"
"LOC105829585",NA,NA,1.37668905821734e-05,NA,NA,"worker larva","no","307658:00006c"
"LOC105829586",NA,NA,3.52963178160791e-12,NA,NA,"worker larva","no","307658:002dc0"
"LOC105829587",NA,NA,1.18758550542276e-05,NA,NA,"worker larva","no","307658:002dc1"
"LOC105829588","nurse abdomen → larva","CG",0.00679286485689396,"nurse",0.260279085222417,"nurse abdomen","yes","307658:002dc2"
"LOC105829588","nurse head → larva","CH",0.00335126088231212,"nurse",0.151057699933485,"nurse head","yes","307658:002dc2"
"LOC105829588",NA,NA,7.98828234201365e-17,NA,NA,"worker larva","no","307658:002dc2"
"LOC105829589",NA,NA,0.000272318500265974,NA,NA,"worker larva","no","307658:00341e"
"LOC105829589",NA,NA,0.0377481494289338,NA,NA,"nurse head","no","307658:00341e"
"LOC105829589",NA,NA,0.0424616298735494,NA,NA,"nurse abdomen","no","307658:00341e"
"LOC105829591",NA,NA,4.77029204402409e-16,NA,NA,"worker larva","no","307658:003927"
"LOC105829591",NA,NA,0.0298276259121286,NA,NA,"nurse head","no","307658:003927"
"LOC105829594",NA,NA,0.0004736712712837,NA,NA,"worker larva","no","307658:004826"
"LOC105829595",NA,NA,6.45772837900989e-17,NA,NA,"worker larva","no","307658:004de2"
"LOC105829598","nurse abdomen → larva","CG",0.0335690939142381,"nurse",0.0844441383975808,"nurse abdomen","yes","307658:004a81"
"LOC105829598",NA,NA,5.14941576478748e-08,NA,NA,"worker larva","no","307658:004a81"
"LOC105829599","larva → nurse abdomen","CG",7.14008636685057e-94,"larv",0.189023085592665,"worker larva","yes","307658:000335"
"LOC105829599","larva → nurse head","CH",7.14008636685057e-94,"larv",0.162821143870934,"worker larva","yes","307658:000335"
"LOC105829600",NA,NA,2.00487943574528e-15,NA,NA,"worker larva","no","307658:0040c3"
"LOC105829601",NA,NA,0.00673088135269545,NA,NA,"worker larva","no","307658:004e10"
"LOC105829602","nurse head → larva","CH",0.00501749538870478,"nurse",0.126561570623157,"nurse head","yes","307658:0040dd"
